ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat,tt_icme,v_eff
18/02/2011 19:00,15/02/2011 02:25,-,2011-02-18 01:30:00,2011-02-18 19:00:00,2011-02-20 08:00:00,470,600,10,1,-,2011-02-15 02:25:00,2011-02-15 06:25:00,-20,15,35,920,M2M_CATALOG,3.5243055555555554,442.12049261083746
05/06/2011 02:00,02/06/2011 07:40,-,2011-06-04 20:45:00,2011-06-05 02:00:00,2011-06-05 19:00:00,510,560,12,2,-,2011-06-02 07:40:00,2011-06-02 11:25:00,-5,-30,30,950,M2M_CATALOG,2.607638888888889,597.5396804260986
17/06/2011 05:00,14/06/2011 08:10,-,2011-06-17 02:41:00,2011-06-17 05:00:00,2011-06-17 13:00:00,500,550,9,1,-,2011-06-14 08:10:00,2011-06-14 12:45:00,5,-45,43,830,M2M_CATALOG,2.6770833333333335,582.0392996108949
06/08/2011 22:00,04/08/2011 04:10,-,2011-08-05 17:51:00,2011-08-06 22:00:00,2011-08-07 22:00:00,540,610,4,1,-,2011-08-04 04:10:00,2011-08-04 05:45:00,14,40,60,1950,M2M_CATALOG,2.6770833333333335,582.0392996108949
10/09/2011 03:00,06/09/2011 22:40,-,2011-09-09 12:42:00,2011-09-10 03:00:00,2011-09-10 15:00:00,470,530,14,2,-,2011-09-06 22:40:00,2011-09-07 03:50:00,20,20,30,650,M2M_CATALOG,2.9652777777777777,525.4710772833724
13/11/2011 10:00,09/11/2011 13:39,-,2011-11-12 05:59:00,2011-11-13 10:00:00,2011-11-15 02:00:00,370,460,5,1,-,2011-11-09 13:39:00,2011-11-09 16:20:00,24,-35,38,1150,M2M_CATALOG,3.736111111111111,417.0560408921933
29/11/2011 00:00,26/11/2011 07:12,-,2011-11-28 21:50:00,2011-11-29 00:00:00,2011-11-29 08:00:00,450,510,15,2,-,2011-11-26 07:12:00,2011-11-26 11:30:00,23,45,72,930,M2M_CATALOG,2.5208333333333335,618.1161157024793
22/01/2012 23:00,19/01/2012 15:10,-,2012-01-22 06:11:00,2012-01-22 23:00:00,2012-01-23 07:00:00,450,460,9,2,-,2012-01-19 15:10:00,2012-01-19 18:34:00,46,-21,69,1020,M2M_CATALOG,3.1847222222222222,489.2633013519407
14/02/2012 21:00,10/02/2012 12:25,-,2012-02-14 07:00:00,2012-02-14 21:00:00,2012-02-16 06:00:00,370,400,9,1,-,2012-02-10 12:25:00,2012-02-10 12:25:00,4,-19,36,301,M2M_CATALOG,4.357638888888889,357.5715537848605
27/02/2012 19:00,24/02/2012 03:46,-,2012-02-26 21:39:00,2012-02-27 19:00:00,2012-02-28 16:00:00,440,490,13,2,-,2012-02-24 03:46:00,2012-02-24 07:40:00,32,-12,55,815,M2M_CATALOG,3.4722222222222223,448.75229999999993
15/03/2012 17:00,13/03/2012 17:52,-,2012-03-15 13:06:00,2012-03-15 17:00:00,2012-03-16 10:00:00,680,760,9,1,-,2012-03-13 17:52:00,2012-03-13 18:55:00,25,43,60,2250,M2M_CATALOG,1.9201388888888888,811.4869801084992
16/06/2012 23:00,14/06/2012 14:09,-,2012-06-16 20:19:00,2012-06-16 23:00:00,2012-06-17 12:00:00,440,510,28,2,-,2012-06-14 14:09:00,2012-06-14 16:35:00,-20,-9,50,1364,M2M_CATALOG,2.267361111111111,687.216385911179
09/07/2012 00:00,04/07/2012 17:24,-,2012-07-08 08:00:00,2012-07-09 00:00:00,2012-07-09 14:00:00,410,450,12,2,-,2012-07-04 17:24:00,2012-07-05 02:07:00,-7,25,31,535,M2M_CATALOG,3.9118055555555555,398.32442748091603
08/10/2012 18:00,05/10/2012 03:24,-,2012-10-08 05:16:00,2012-10-08 18:00:00,2012-10-09 12:00:00,390,420,16,2,-,2012-10-05 03:24:00,2012-10-05 09:15:00,-28,10,47,650,M2M_CATALOG,3.3645833333333335,463.10866873065015
13/11/2012 08:00,09/11/2012 15:24,-,2012-11-12 23:11:00,2012-11-13 08:00:00,2012-11-14 03:00:00,380,460,21,2,-,2012-11-09 15:24:00,2012-11-09 20:55:00,-13,-11,27,570,M2M_CATALOG,3.4618055555555554,450.1026078234704
14/02/2013 08:00,09/02/2013 07:30,-,2013-02-13 17:00:00,2013-02-14 08:00:00,2013-02-16 14:00:00,360,400,4,0,-,2013-02-09 07:30:00,2013-02-09 10:55:00,28,3,32,825,M2M_CATALOG,4.878472222222222,319.39665480427044
14/04/2013 17:00,11/04/2013 07:36,-,2013-04-13 22:54:00,2013-04-14 17:00:00,2013-04-15 23:00:00,410,520,9,2,-,2013-04-11 07:36:00,2013-04-11 12:15:00,-7,-25,58,675,M2M_CATALOG,3.1979166666666665,487.2446254071661
05/07/2013 01:00,30/06/2013 02:24,-,2013-07-05 01:00:00,2013-07-05 01:00:00,2013-07-07 16:00:00,350,370,10,2,-,2013-06-30 02:24:00,2013-06-30 02:24:00,8,1,35,440,M2M_CATALOG,4.941666666666666,315.31218381112984
13/07/2013 05:00,09/07/2013 15:09,-,2013-07-12 17:14:00,2013-07-13 05:00:00,2013-07-15 00:00:00,430,500,13,2,-,2013-07-09 15:09:00,2013-07-09 20:34:00,2,-10,40,600,M2M_CATALOG,3.3513888888888888,464.93193120596766
25/08/2013 03:00,21/08/2013 05:09,-,2013-08-24 00:03:00,2013-08-25 03:00:00,2013-08-26 03:00:00,400,520,4,1,-,2013-08-21 05:09:00,2013-08-21 10:14:00,10,-2,40,610,M2M_CATALOG,3.698611111111111,421.2845475028164
09/10/2013 09:00,06/10/2013 14:39,-,2013-10-08 20:20:00,2013-10-09 09:00:00,2013-10-11 00:00:00,480,650,6,0,-,2013-10-06 14:39:00,2013-10-06 18:19:00,-15,6,25,790,M2M_CATALOG,2.6118055555555557,596.586413187982
21/02/2014 02:00,18/02/2014 01:25,-,2014-02-20 03:18:00,2014-02-21 02:00:00,2014-02-22 12:00:00,490,690,6,0,-,2014-02-18 01:25:00,2014-02-18 05:29:00,-28,-49,63,851,M2M_CATALOG,2.854861111111111,545.7945755290683
