ICME,CME
2010-08-04 10:00:00,['2010-08-01 02:42:00' '2010-08-01 10:10:00']
2011-08-05 05:00:00,['2011-08-02 06:40:00' '2011-08-03 13:55:00' '2011-08-04 04:10:00']
2011-10-05 10:00:00,['2011-10-01 10:24:00' '2011-10-02 01:54:00']
2011-10-06 12:00:00,['2011-10-01 10:24:00' '2011-10-02 01:54:00']
2011-12-29 22:00:00,['2011-12-25 19:24:00' '2011-12-26 11:54:00']
2012-01-21 06:00:00,['2012-01-19 15:10:00']
2012-03-06 08:00:00,['2012-03-03 20:24:00' '2012-03-04 11:24:00']
2012-03-09 03:00:00,['2012-03-06 04:01:00' '2012-03-07 01:25:00']
2012-09-04 11:00:00,['2012-08-31 20:36:00' '2012-09-02 03:09:00']
2012-11-01 00:00:00,['2012-10-27 16:25:00' '2012-10-27 17:40:00']
2012-11-24 12:00:00,['2012-11-21 16:24:00']
2012-11-26 12:00:00,['2012-11-21 09:07:00' '2012-11-23 13:54:00']
2013-08-23 20:00:00,['2013-08-20 08:24:00' '2013-08-21 05:09:00']
2014-02-08 01:00:00,['2014-02-04 01:25:00' '2014-02-04 16:39:00']
2014-02-16 05:00:00,['2014-02-12 05:48:00' '2014-02-12 13:09:00']
2014-04-05 22:00:00,['2014-04-01 17:00:00' '2014-04-02 13:55:00']
2015-08-26 08:00:00,['2015-08-21 10:24:00' '2015-08-22 07:24:00']
2015-12-20 03:00:00,['2015-12-16 09:36:00' '2015-12-16 14:48:00']
2016-07-20 07:00:00,['2016-07-17 12:48:00']
2017-07-16 15:00:00,['2017-07-12 14:00:00' '2017-07-14 01:36:00']
2017-09-07 20:00:00,['2017-09-04 20:36:00' '2017-09-04 19:39:00']
2021-05-26 22:00:00,['2021-05-22 22:09:00' '2021-05-23 09:53:00' '2021-05-23 11:38:00']
2021-10-12 16:00:00,['2021-10-06 17:38:00' '2021-10-09 07:09:00']
2021-11-04 07:00:00,['2021-11-01 21:36:00' '2021-11-02 02:48:00']
2022-01-19 05:00:00,['2022-01-15 06:00:00' '2022-01-15 14:00:00']
2022-02-10 13:00:00,['2022-02-06 11:09:00' '2022-02-06 14:09:00' '2022-02-06 15:38:00']
2022-03-31 12:00:00,['2022-03-28 12:09:00' '2022-03-28 20:23:00']
2022-07-08 11:00:00,['2022-07-03 03:09:00' '2022-07-05 04:24:00']
2022-07-09 14:00:00,['2022-07-03 03:09:00' '2022-07-05 04:24:00']
2023-08-05 18:00:00,['2023-08-01 00:12:00' '2023-07-31 23:12:00' '2023-08-02 09:12:00']
2023-12-01 20:00:00,['2023-11-27 20:12:00' '2023-11-28 20:24:00' '2023-11-28 20:48:00']
2023-12-15 22:00:00,['2023-12-12' '2023-12-13']
2023-12-17 22:00:00,['2023-12-12 00:00:00' '2023-12-14 17:38:00']
