ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat
18/02/2011 19:00,15/02/2011 02:25,-,2011/02/18 0130,18/02/2011 19:00,20/02/2011 08:00,470,600,10,1,-,15/02/2011 02:25,15/02/2011 06:25,-20,15,35,920,M2M_CATALOG
05/06/2011 02:00,02/06/2011 07:40,-,2011/06/04 2045,05/06/2011 02:00,05/06/2011 19:00,510,560,12,2,-,02/06/2011 07:40,02/06/2011 11:25,-5,-30,30,950,M2M_CATALOG
17/06/2011 05:00,14/06/2011 08:10,-,2011/06/17 0241,17/06/2011 05:00,17/06/2011 13:00,500,550,9,1,-,14/06/2011 08:10,14/06/2011 12:45,5,-45,43,830,M2M_CATALOG
06/08/2011 22:00,04/08/2011 04:10,-,2011/08/05 1751,06/08/2011 22:00,07/08/2011 22:00,540,610,4,1,-,04/08/2011 04:10,04/08/2011 05:45,14,40,60,1950,M2M_CATALOG
10/09/2011 03:00,06/09/2011 22:40,-,2011/09/09 1242,10/09/2011 03:00,10/09/2011 15:00,470,530,14,2,-,06/09/2011 22:40,07/09/2011 03:50,20,20,30,650,M2M_CATALOG
16/09/2011 19:00,14/09/2011 01:54,-,2011/09/16 1900,16/09/2011 19:00,17/09/2011 05:00,390,420,4,0,-,14/09/2011 01:54,14/09/2011 05:30,21,38,46,600,M2M_CATALOG
17/09/2011 14:00,14/09/2011 01:54,-,2011/09/17 0343,17/09/2011 14:00,18/09/2011 06:00,430,590,11,2,-,14/09/2011 01:54,14/09/2011 05:30,21,38,46,600,M2M_CATALOG
22/09/2011 15:00,19/09/2011 06:54,-,2011/09/22 0300,22/09/2011 15:00,23/09/2011 03:00,390,420,5,1,-,19/09/2011 06:54,19/09/2011 10:44,22,-48,56,720,M2M_CATALOG
26/09/2011 20:00,24/09/2011 13:09,-,2011/09/26 1234,26/09/2011 20:00,28/09/2011 15:00,580,700,7,0,-,24/09/2011 13:09,24/09/2011 14:46,12,-45,50,1507,M2M_CATALOG
13/11/2011 10:00,09/11/2011 13:39,-,2011/11/12 0559,13/11/2011 10:00,15/11/2011 02:00,370,460,5,1,-,09/11/2011 13:39,09/11/2011 16:20,24,-35,38,1150,M2M_CATALOG
29/11/2011 00:00,26/11/2011 07:12,-,2011/11/28 2150,29/11/2011 00:00,29/11/2011 08:00,450,510,15,2,-,26/11/2011 07:12,26/11/2011 11:30,23,45,72,930,M2M_CATALOG
22/01/2012 23:00,19/01/2012 15:10,-,2012/01/22 0611,22/01/2012 23:00,23/01/2012 07:00,450,460,9,2,-,19/01/2012 15:10,19/01/2012 18:34,46,-21,69,1020,M2M_CATALOG
14/02/2012 21:00,10/02/2012 12:25,-,2012/02/14 0700,14/02/2012 21:00,16/02/2012 06:00,370,400,9,1,-,10/02/2012 12:25,10/02/2012 12:25,4,-19,36,301,M2M_CATALOG
27/02/2012 19:00,24/02/2012 03:46,-,2012/02/26 2139,27/02/2012 19:00,28/02/2012 16:00,440,490,13,2,-,24/02/2012 03:46,24/02/2012 07:40,32,-12,55,815,M2M_CATALOG
15/03/2012 17:00,13/03/2012 17:52,-,2012/03/15 1306,15/03/2012 17:00,16/03/2012 10:00,680,760,9,1,-,13/03/2012 17:52,13/03/2012 18:55,25,43,60,2250,M2M_CATALOG
16/06/2012 23:00,14/06/2012 14:09,-,2012/06/16 2019,16/06/2012 23:00,17/06/2012 12:00,440,510,28,2,-,14/06/2012 14:09,14/06/2012 16:35,-20,-9,50,1364,M2M_CATALOG
09/07/2012 00:00,04/07/2012 17:24,-,2012/07/08 0800,09/07/2012 00:00,09/07/2012 14:00,410,450,12,2,-,04/07/2012 17:24,05/07/2012 02:07,-7,25,31,535,M2M_CATALOG
05/09/2012 06:00,02/09/2012 03:09,-,2012/09/04 2245,05/09/2012 06:00,05/09/2012 18:00,500,540,10,2,-,02/09/2012 03:09,02/09/2012 08:10,10,3,30,730,M2M_CATALOG
06/09/2012 02:00,02/09/2012 03:09,-,2012/09/06 0200,06/09/2012 02:00,06/09/2012 15:00,420,420,10,2,-,02/09/2012 03:09,02/09/2012 08:10,10,3,30,730,M2M_CATALOG
08/10/2012 18:00,05/10/2012 03:24,-,2012/10/08 0516,08/10/2012 18:00,09/10/2012 12:00,390,420,16,2,-,05/10/2012 03:24,05/10/2012 09:15,-28,10,47,650,M2M_CATALOG
13/11/2012 08:00,09/11/2012 15:24,-,2012/11/12 2311,13/11/2012 08:00,14/11/2012 03:00,380,460,21,2,-,09/11/2012 15:24,09/11/2012 20:55,-13,-11,27,570,M2M_CATALOG
17/01/2013 16:00,13/01/2013 07:24,-,2013/01/17 1600,17/01/2013 16:00,18/01/2013 12:00,390,400,12,2,-,13/01/2013 07:24,13/01/2013 19:18,3,12,31,447,M2M_CATALOG
19/01/2013 00:00,15/01/2013 08:24,-,2013/01/18 1237,19/01/2013 00:00,19/01/2013 17:00,430,460,5,1,-,15/01/2013 08:24,15/01/2013 16:00,-20,10,30,450,M2M_CATALOG
14/02/2013 08:00,09/02/2013 07:30,-,2013/02/13 1700,14/02/2013 08:00,16/02/2013 14:00,360,400,4,0,-,09/02/2013 07:30,09/02/2013 10:55,28,3,32,825,M2M_CATALOG
17/03/2013 15:00,15/03/2013 06:54,-,2013/03/17 0559,17/03/2013 15:00,19/03/2013 16:00,520,720,9,2,-,15/03/2013 06:54,15/03/2013 09:03,-3,-2,66,1485,M2M_CATALOG
20/03/2013 18:00,17/03/2013 16:00,-,2013/03/20 1700,20/03/2013 18:00,20/03/2013 22:00,520,640,9,1,-,17/03/2013 16:00,17/03/2013 23:37,33,9,35,520,M2M_CATALOG
14/04/2013 17:00,11/04/2013 07:36,-,2013/04/13 2254,14/04/2013 17:00,15/04/2013 23:00,410,520,9,2,-,11/04/2013 07:36,11/04/2013 12:15,-7,-25,58,675,M2M_CATALOG
06/06/2013 14:00,02/06/2013 20:24,-,2013/06/06 0255,06/06/2013 14:00,08/06/2013 00:00,430,510,11,2,-,02/06/2013 20:24,03/06/2013 06:30,-10,-31,30,300,M2M_CATALOG
08/06/2013 10:00,02/06/2013 20:24,-,2013/06/08 0600,08/06/2013 10:00,08/06/2013 20:00,430,450,3,1,-,02/06/2013 20:24,03/06/2013 06:30,-10,-31,30,300,M2M_CATALOG
05/07/2013 01:00,30/06/2013 02:24,-,2013/07/05 0100,05/07/2013 01:00,07/07/2013 16:00,350,370,10,2,-,30/06/2013 02:24,30/06/2013 02:24,8,1,35,440,M2M_CATALOG
13/07/2013 05:00,09/07/2013 15:09,-,2013/07/12 1714,13/07/2013 05:00,15/07/2013 00:00,430,500,13,2,-,09/07/2013 15:09,09/07/2013 20:34,2,-10,40,600,M2M_CATALOG
25/08/2013 03:00,21/08/2013 05:09,-,2013/08/24 0003(S),25/08/2013 03:00,26/08/2013 03:00,400,520,4,1,-,21/08/2013 05:09,21/08/2013 10:14,10,-2,40,610,M2M_CATALOG
09/10/2013 09:00,06/10/2013 14:39,-,2013/10/08 2020,09/10/2013 09:00,11/10/2013 00:00,480,650,6,0,-,06/10/2013 14:39,06/10/2013 18:19,-15,6,25,790,M2M_CATALOG
21/02/2014 02:00,18/02/2014 01:25,-,2014/02/20 0318,21/02/2014 02:00,22/02/2014 12:00,490,690,6,0,-,18/02/2014 01:25,18/02/2014 05:29,-28,-49,63,851,M2M_CATALOG
18/04/2014 19:00,14/04/2014 13:24,-,2014/04/18 1900,18/04/2014 19:00,20/04/2014 00:00,490,500,8,0,-,14/04/2014 13:24,14/04/2014 19:44,-29,-4,29,396,M2M_CATALOG
20/04/2014 01:00,17/04/2014 01:25,-,2014/04/19 1836,20/04/2014 01:00,20/04/2014 12:00,510,530,5,1,-,17/04/2014 01:25,17/04/2014 12:37,-34,26,45,202,M2M_CATALOG
21/04/2014 07:00,17/04/2014 01:25,-,2014/04/20 1056,21/04/2014 07:00,22/04/2014 09:00,540,700,6,1,-,17/04/2014 01:25,17/04/2014 12:37,-34,26,45,202,M2M_CATALOG
19/08/2014 16:00,15/08/2014 21:12,-,2014/08/19 0657,19/08/2014 16:00,21/08/2014 05:00,360,440,17,2,-,15/08/2014 21:12,16/08/2014 01:36,12,5,39,676,M2M_CATALOG
12/09/2014 22:00,10/09/2014 18:18,-,2014/09/12 1553,12/09/2014 22:00,14/09/2014 02:00,600,720,20,2,-,10/09/2014 18:18,10/09/2014 20:00,15,10,45,1400,M2M_CATALOG
28/03/2015 11:00,22/03/2015 19:36,-,2015/03/28 0000,28/03/2015 11:00,29/03/2015 11:00,390,420,13,2,-,22/03/2015 19:36,23/03/2015 09:49,14,20,27,236,M2M_CATALOG
09/04/2015 11:00,06/04/2015 20:36,-,2015/04/09 1011,09/04/2015 11:00,09/04/2015 22:00,380,390,12,0,-,06/04/2015 20:36,06/04/2015 23:03,-9,-15,22,917,M2M_CATALOG
10/04/2015 13:00,06/04/2015 20:36,-,2015/04/10 0000,10/04/2015 13:00,11/04/2015 09:00,380,450,13,2,-,06/04/2015 20:36,06/04/2015 23:03,-9,-15,22,917,M2M_CATALOG
07/05/2015 21:00,02/05/2015 21:36,-,2015/05/07 2100,07/05/2015 21:00,09/05/2015 04:00,390,400,6,0,-,02/05/2015 21:36,03/05/2015 08:50,-32,-31,50,296,M2M_CATALOG
10/05/2015 12:00,06/05/2015 17:00,-,2015/05/10 1200,10/05/2015 12:00,11/05/2015 02:00,370,400,11,2,-,06/05/2015 17:00,06/05/2015 23:26,-11,26,29,576,M2M_CATALOG
18/05/2015 20:00,13/05/2015 18:48,-,2015/05/18 1900,18/05/2015 20:00,19/05/2015 02:00,460,480,16,2,-,13/05/2015 18:48,14/05/2015 03:55,37,7,37,354,M2M_CATALOG
23/06/2015 02:00,21/06/2015 02:48,-,2015/06/22 1833,23/06/2015 02:00,24/06/2015 14:00,610,740,14,1,-,21/06/2015 02:48,21/06/2015 05:01,7,-8,47,1250,M2M_CATALOG
25/06/2015 10:00,22/06/2015 18:36,-,2015/06/24 1329,25/06/2015 10:00,26/06/2015 06:00,550,720,5,0,-,22/06/2015 18:36,22/06/2015 21:10,14,3,45,1155,M2M_CATALOG
13/07/2015 06:00,08/07/2015 09:12,-,2015/07/13 0138,13/07/2015 06:00,14/07/2015 15:00,490,650,8,0,-,08/07/2015 09:12,08/07/2015 19:32,13,27,40,329,M2M_CATALOG
15/08/2015 21:00,12/08/2015 15:12,-,2015/08/15 0829,15/08/2015 21:00,16/08/2015 08:00,500,510,12,1,-,12/08/2015 15:12,12/08/2015 21:22,-22,36,41,567,M2M_CATALOG
21/09/2015 08:00,18/09/2015 05:00,-,2015/09/20 0604,21/09/2015 08:00,22/09/2015 01:00,510,600,5,0,-,18/09/2015 05:00,18/09/2015 09:37,-26,7,38,744,M2M_CATALOG
25/10/2015 14:00,22/10/2015 03:12,-,2015/10/24 1854,25/10/2015 14:00,27/10/2015 04:00,430,490,7,1,-,22/10/2015 03:12,22/10/2015 07:09,-13,37,43,861,M2M_CATALOG
07/11/2015 06:00,04/11/2015 14:24,-,2015/11/06 1818,07/11/2015 06:00,08/11/2015 16:00,500,680,13,2,-,04/11/2015 14:24,04/11/2015 19:30,-6,18,50,780,M2M_CATALOG
31/12/2015 17:00,28/12/2015 12:39,-,2015/12/31 0050,31/12/2015 17:00,02/01/2016 11:00,440,480,10,2,-,28/12/2015 12:39,28/12/2015 16:43,-15,14,58,850,M2M_CATALOG
19/01/2016 10:00,15/01/2016 00:00,-,2016/01/18 2157,19/01/2016 10:00,21/01/2016 00:00,370,400,14,2,-,15/01/2016 00:00,15/01/2016 11:43,-30,31,45,483,M2M_CATALOG
