CME_Time,Time_21.5,lat,lon,Ang_rad,V,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,Time_Error,Good_Match
03/04/2010 09:54,03/04/2010 17:16,7,8,26,620,2010/04/05 0826,05/04/2010 12:00,06/04/2010 14:00,640,790,9,2,-1 days +23:21:00,FALSE
15/02/2011 02:25,15/02/2011 06:25,-20,15,35,920,2011/02/18 0130,18/02/2011 19:00,20/02/2011 08:00,470,600,10,1,-1 days +23:49:00,FALSE
02/08/2011 06:40,02/08/2011 10:19,4,15,35,900,2011/08/04 2153,05/08/2011 05:00,05/08/2011 14:00,430,440,5,1,0 days 00:04:00,FALSE
04/08/2011 04:10,04/08/2011 05:45,14,40,60,1950,2011/08/05 1751,06/08/2011 22:00,07/08/2011 22:00,540,610,4,1,-1 days +23:58:00,FALSE
06/09/2011 22:40,07/09/2011 03:50,20,20,30,650,2011/09/09 1242,10/09/2011 03:00,10/09/2011 15:00,470,530,14,2,-1 days +23:35:00,FALSE
14/09/2011 01:54,14/09/2011 05:30,21,38,46,600,2011/09/17 0343,17/09/2011 14:00,18/09/2011 06:00,430,590,11,2,0 days 03:44:00,FALSE
19/09/2011 06:54,19/09/2011 10:44,22,-48,56,720,2011/09/22 0300,22/09/2011 15:00,23/09/2011 03:00,390,420,5,1,0 days 00:54:00,FALSE
24/09/2011 13:09,24/09/2011 14:46,12,-45,50,1507,2011/09/26 1234,26/09/2011 20:00,28/09/2011 15:00,580,700,7,0,0 days 00:21:00,FALSE
02/10/2011 01:54,02/10/2011 08:30,10,-6,28,500,2011/10/05 0736,05/10/2011 10:00,05/10/2011 22:00,450,460,12,1,0 days 00:54:00,FALSE
26/10/2011 10:24,26/10/2011 18:20,10,31,37,470,2011/10/30 1001,31/10/2011 01:00,31/10/2011 15:00,410,420,6,0,0 days 00:24:00,FALSE
09/11/2011 13:39,09/11/2011 16:20,24,-35,38,1150,2011/11/12 0559,13/11/2011 10:00,15/11/2011 02:00,370,460,5,1,0 days 00:09:00,FALSE
26/11/2011 07:12,26/11/2011 11:30,23,45,72,930,2011/11/28 2150,29/11/2011 00:00,29/11/2011 08:00,450,510,15,2,0 days 00:12:00,FALSE
19/01/2012 15:10,19/01/2012 18:34,46,-21,69,1020,2012/01/22 0611,22/01/2012 23:00,23/01/2012 07:00,450,460,9,2,0 days 00:34:00,FALSE
07/03/2012 01:25,07/03/2012 02:20,4,-23,65,1800,2012/03/08 1103,09/03/2012 03:00,11/03/2012 07:00,550,890,7,1,0 days 01:01:00,FALSE
13/03/2012 17:52,13/03/2012 18:55,25,43,60,2250,2012/03/15 1306,15/03/2012 17:00,16/03/2012 10:00,680,760,9,1,0 days 00:16:00,FALSE
14/06/2012 14:09,14/06/2012 16:35,-20,-9,50,1364,2012/06/16 2019,16/06/2012 23:00,17/06/2012 12:00,440,510,28,2,-1 days +23:57:00,FALSE
04/07/2012 17:24,05/07/2012 02:07,-7,25,31,535,2012/07/08 0800,09/07/2012 00:00,09/07/2012 14:00,410,450,12,2,0 days 00:00:00,TRUE
11/07/2012 19:09,12/07/2012 04:21,34,76,45,440,2012/07/14 1809,15/07/2012 06:00,17/07/2012 05:00,490,670,16,2,-1 days +02:21:00,FALSE
31/08/2012 20:36,31/08/2012 22:43,-15,-63,75,1498,2012/09/03 1213,04/09/2012 11:00,05/09/2012 02:00,430,440,9,0,0 days 00:36:00,FALSE
02/09/2012 03:09,02/09/2012 08:10,10,3,30,730,2012/09/04 2245,05/09/2012 06:00,05/09/2012 18:00,500,540,10,2,0 days 00:00:00,TRUE
29/09/2012 09:24,29/09/2012 16:36,15,40,28,484,2012/10/02 2200,02/10/2012 22:00,03/10/2012 06:00,320,320,6,1,0 days 00:12:00,FALSE
05/10/2012 03:24,05/10/2012 09:15,-28,10,47,650,2012/10/08 0516,08/10/2012 18:00,09/10/2012 12:00,390,420,16,2,0 days 00:36:00,FALSE
27/10/2012 16:25,28/10/2012 00:13,10,-10,22,377,2012/10/31 1538,01/11/2012 00:00,02/11/2012 03:00,340,370,11,2,0 days 00:01:00,FALSE
09/11/2012 15:24,09/11/2012 20:55,-13,-11,27,570,2012/11/12 2311,13/11/2012 08:00,14/11/2012 03:00,380,460,21,2,0 days 00:12:00,FALSE
21/11/2012 16:24,21/11/2012 22:10,8,-12,45,850,2012/11/23 2152,24/11/2012 12:00,25/11/2012 10:00,380,410,12,1,0 days 00:24:00,FALSE
23/11/2012 13:54,23/11/2012 19:30,-22,-15,42,610,2012/11/26 0512,26/11/2012 12:00,28/11/2012 05:00,450,530,6,0,0 days 00:18:00,FALSE
13/01/2013 07:24,13/01/2013 19:18,3,12,31,447,2013/01/17 1600,17/01/2013 16:00,18/01/2013 12:00,390,400,12,2,0 days 00:00:00,TRUE
15/03/2013 06:54,15/03/2013 09:03,-3,-2,66,1485,2013/03/17 0559,17/03/2013 15:00,19/03/2013 16:00,520,720,9,2,-1 days +23:42:00,FALSE
11/04/2013 07:36,11/04/2013 12:15,-7,-25,58,675,2013/04/13 2254,14/04/2013 17:00,15/04/2013 23:00,410,520,9,2,0 days 00:12:00,FALSE
01/07/2013 21:09,02/07/2013 01:25,11,-85,63,915,2013/07/05 0100,05/07/2013 01:00,07/07/2013 16:00,350,370,10,2,0 days 00:45:00,FALSE
09/07/2013 15:09,09/07/2013 20:34,2,-10,40,600,2013/07/12 1714,13/07/2013 05:00,15/07/2013 00:00,430,500,13,2,-1 days +23:57:00,FALSE
20/08/2013 08:24,20/08/2013 12:24,-37,19,51,917,2013/08/22 1926,23/08/2013 20:00,25/08/2013 03:00,470,570,6,1,0 days 00:12:00,FALSE
