Time_21.5,Disturbance_Time,CME_V
11/02/2023 11:12,13/02/2023 17:02,1700
24/02/2023 20:36,26/02/2023 18:43,1323
13/03/2023 10:53,15/03/2023 03:48,1334
20/03/2023 02:41,23/03/2023 09:10,602
20/03/2023 14:42,23/03/2023 09:10,815
21/04/2023 18:12,23/04/2023 17:00,1081
05/05/2023 08:12,07/05/2023 13:20,950
09/05/2023 19:00,12/05/2023 05:48,1450
10/07/2023 04:00,13/07/2023 15:49,900
11/07/2023 19:24,14/07/2023 15:55,870
17/07/2023 23:36,20/07/2023 16:07,1638
18/07/2023 20:12,21/07/2023 19:25,1200
05/08/2023 07:12,07/08/2023 11:07,1020
14/09/2023 07:24,17/09/2023 01:53,830
22/09/2023 02:24,24/09/2023 19:52,1225
16/10/2023 12:09,20/10/2023 07:30,680
02/11/2023 03:36,05/11/2023 08:10,648
16/11/2023 03:48,20/11/2023 09:49,400
27/11/2023 23:48,30/11/2023 23:29,1040
14/12/2023 17:38,17/12/2023 07:32,974
16/12/2023 01:48,20/12/2023 00:26,341
24/12/2023 13:25,27/12/2023 08:26,850
25/12/2023 09:38,29/12/2023 11:34,538
31/12/2023 22:00,03/01/2024 14:19,1500
20/01/2024 09:24,22/01/2024 16:01,944
29/01/2024 19:48,01/02/2024 05:18,1150
10/02/2024 07:00,13/02/2024 01:38,930
17/03/2024 03:12,21/03/2024 01:50,685
17/03/2024 03:36,21/03/2024 01:50,460
12/04/2024 02:00,16/04/2024 09:20,670
14/04/2024 11:12,17/04/2024 08:55,680
15/04/2024 06:48,19/04/2024 04:53,640
