CME_Time,Time_21.5,Time_met,lat,lon,ang,V,lat_met,lon_met,ang_met,V_met,Disturbance_Time,ICME_Start_Time,V_ICME,V_Max
30/12/2022 16:53,31/12/2022 00:31,31/12/2022 01:41,-24,14,32,452,-26,17,29,390,03/01/2023 21:00,04/01/2023 02:00,380,430
25/02/2023 19:38,25/02/2023 23:23,25/02/2023 23:19,10,48,58,920,17,22,45,940,27/02/2023 10:00,27/02/2023 20:00,650,820
13/03/2023 10:53,13/03/2023 15:25,13/03/2023 13:19,31,31,39,750,27,24,31,1334,15/03/2023 04:27,15/03/2023 21:00,490,570
20/03/2023 14:42,20/03/2023 19:41,20/03/2023 19:05,27,-40,45,749,17,-28,35,815,23/03/2023 05:00,23/03/2023 14:00,450,490
21/04/2023 18:12,21/04/2023 21:09,21/04/2023 21:21,-13,19,43,1204,-23,16,39,1081,23/04/2023 17:38,24/04/2023 01:00,520,680
07/05/2023 23:12,08/05/2023 01:24,08/05/2023 03:00,11,14,44,1494,16,27,45,950,09/05/2023 22:50,10/05/2023 12:00,550,660
09/05/2023 19:00,09/05/2023 21:05,09/05/2023 22:07,11,26,45,1651,15,46,51,1204,12/05/2023 06:33,12/05/2023 12:00,480,580
04/07/2023 04:36,04/07/2023 10:30,04/07/2023 10:00,-22,-14,45,635,-16,-6,35,700,07/07/2023 12:00,07/07/2023 12:00,450,500
10/07/2023 04:00,10/07/2023 07:48,10/07/2023 07:50,-10,37,45,901,-17,37,35,900,14/07/2023 16:11,14/07/2023 20:00,380,430
14/07/2023 19:10,14/07/2023 22:24,14/07/2023 21:55,-18,2,40,934,-15,2,40,1100,16/07/2023 19:22,17/07/2023 20:00,500,570
14/09/2023 23:12,15/09/2023 06:11,15/09/2023 06:00,-3,-33,42,466,-2,-20,33,500,17/09/2023 02:34,18/09/2023 02:00,430,480
22/09/2023 22:24,23/09/2023 02:46,23/09/2023 02:15,-12,2,19,786,-12,1,14,804,24/09/2023 20:43,25/09/2023 09:00,440,480
02/10/2023 18:24,03/10/2023 01:32,03/10/2023 02:08,0,-20,29,467,8,-55,33,399,05/10/2023 22:25,06/10/2023 16:00,370,490
09/11/2023 12:23,09/11/2023 16:01,09/11/2023 16:00,14,10,45,782,7,3,46,700,12/11/2023 06:13,12/11/2023 12:00,460,570
